record-type,attack-v18-attack-id,attack-v19-attack-id,attack-v18-stix-id,attack-v19-stix-id,attack-v18-name,attack-v19-name,attack-v19-parent-attack-id,attack-v18-tactics,attack-v19-tactics,explanation,technique-change-type,tactic-change-type
Existing Technique,T1548,T1548,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b,Abuse Elevation Control Mechanism,Abuse Elevation Control Mechanism,,defense-evasion;privilege-escalation,privilege-escalation,,Remains technique,Left Defense Evasion
Existing Technique,T1548.002,T1548.002,attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073,attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073,Abuse Elevation Control Mechanism: Bypass User Account Control,Abuse Elevation Control Mechanism: Bypass User Account Control,T1548,defense-evasion;privilege-escalation,privilege-escalation,,Remains sub-technique,Left Defense Evasion
Existing Technique,T1548.004,T1548.004,attack-pattern--b84903f0-c7d5-435d-a69e-de47cc3578c0,attack-pattern--b84903f0-c7d5-435d-a69e-de47cc3578c0,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,T1548,defense-evasion;privilege-escalation,privilege-escalation,,Remains sub-technique,Left Defense Evasion
Existing Technique,T1548.001,T1548.001,attack-pattern--6831414d-bb70-42b7-8030-d4e06b2660c9,attack-pattern--6831414d-bb70-42b7-8030-d4e06b2660c9,Abuse Elevation Control Mechanism: Setuid and Setgid,Abuse Elevation Control Mechanism: Setuid and Setgid,T1548,defense-evasion;privilege-escalation,privilege-escalation,,Remains sub-technique,Left Defense Evasion
Existing Technique,T1548.003,T1548.003,attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,T1548,defense-evasion;privilege-escalation,privilege-escalation,,Remains sub-technique,Left Defense Evasion
Existing Technique,T1548.006,T1548.006,attack-pattern--e8a0a025-3601-4755-abfb-8d08283329fb,attack-pattern--e8a0a025-3601-4755-abfb-8d08283329fb,Abuse Elevation Control Mechanism: TCC Manipulation,Abuse Elevation Control Mechanism: TCC Manipulation,T1548,defense-evasion;privilege-escalation,privilege-escalation,,Remains sub-technique,Left Defense Evasion
Existing Technique,T1548.005,T1548.005,attack-pattern--6fa224c7-5091-4595-bf15-3fc9fe2f2c7c,attack-pattern--6fa224c7-5091-4595-bf15-3fc9fe2f2c7c,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,T1548,defense-evasion;privilege-escalation,privilege-escalation,,Remains sub-technique,Left Defense Evasion
Existing Technique,T1134,T1134,attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48,attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48,Access Token Manipulation,Access Token Manipulation,,defense-evasion;privilege-escalation,stealth;privilege-escalation,,Remains technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1134.002,T1134.002,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,Access Token Manipulation: Create Process with Token,Access Token Manipulation: Create Process with Token,T1134,defense-evasion;privilege-escalation,stealth;privilege-escalation,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1134.003,T1134.003,attack-pattern--8cdeb020-e31e-4f88-a582-f53dcfbda819,attack-pattern--8cdeb020-e31e-4f88-a582-f53dcfbda819,Access Token Manipulation: Make and Impersonate Token,Access Token Manipulation: Make and Impersonate Token,T1134,defense-evasion;privilege-escalation,stealth;privilege-escalation,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1134.004,T1134.004,attack-pattern--93591901-3172-4e94-abf8-6034ab26f44a,attack-pattern--93591901-3172-4e94-abf8-6034ab26f44a,Access Token Manipulation: Parent PID Spoofing,Access Token Manipulation: Parent PID Spoofing,T1134,defense-evasion;privilege-escalation,stealth;privilege-escalation,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1134.005,T1134.005,attack-pattern--b7dc639b-24cd-482d-a7f1-8897eda21023,attack-pattern--b7dc639b-24cd-482d-a7f1-8897eda21023,Access Token Manipulation: SID-History Injection,Access Token Manipulation: SID-History Injection,T1134,defense-evasion;privilege-escalation,stealth;privilege-escalation,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1134.001,T1134.001,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d,Access Token Manipulation: Token Impersonation/Theft,Access Token Manipulation: Token Impersonation/Theft,T1134,defense-evasion;privilege-escalation,stealth;privilege-escalation,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1197,T1197,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,BITS Jobs,BITS Jobs,,defense-evasion;persistence,stealth;persistence;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1612,T1612,attack-pattern--800f9819-7007-4540-a520-40e655876800,attack-pattern--800f9819-7007-4540-a520-40e655876800,Build Image on Host,Build Image on Host,,defense-evasion,stealth,,Remains technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1622,T1622,attack-pattern--e4dc8c01-417f-458d-9ee0-bb0617c1b391,attack-pattern--e4dc8c01-417f-458d-9ee0-bb0617c1b391,Debugger Evasion,Debugger Evasion,,defense-evasion;discovery,stealth;discovery,,Remains technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1678,T1678,attack-pattern--a1df809c-7d0e-459f-8fe5-25474bab770b,attack-pattern--a1df809c-7d0e-459f-8fe5-25474bab770b,Delay Execution,Delay Execution,,defense-evasion,stealth,,Remains technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1140,T1140,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,Deobfuscate/Decode Files or Information,Deobfuscate/Decode Files or Information,,defense-evasion,stealth,,Remains technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1610,T1610,attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,Deploy Container,Deploy Container,,defense-evasion;execution,execution,,Remains technique,Left Defense Evasion
Existing Technique,T1006,T1006,attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5,attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5,Direct Volume Access,Direct Volume Access,,defense-evasion,stealth,,Remains technique,Remains TA0005 -> renamed Stealth
Existing Technique,T1484,T1484,attack-pattern--ebb42bbe-62d7-47d7-a55f-3b08b61d792d,attack-pattern--ebb42bbe-62d7-47d7-a55f-3b08b61d792d,Domain or Tenant Policy Modification,Domain or Tenant Policy Modification,,defense-evasion;privilege-escalation,defense-impairment;privilege-escalation,,Remains technique,"Moved to new tactic Defense Impairment, and Remains in Additional Tactic(s)"
Existing Technique,T1484.001,T1484.001,attack-pattern--5d2be8b9-d24c-4e98-83bf-2f5f79477163,attack-pattern--5d2be8b9-d24c-4e98-83bf-2f5f79477163,Domain or Tenant Policy Modification: Group Policy Modification,Domain or Tenant Policy Modification: Group Policy Modification,T1484,defense-evasion;privilege-escalation,defense-impairment;privilege-escalation,,Remains sub-technique,"Moved to new tactic Defense Impairment, and Remains in Additional Tactic(s)"
